timestamp	step	train/mae
1669134507953	0	0.18572789430618286
1669134517386	1	0.17920202016830444
1669134525201	2	0.171187162399292
1669134533262	3	0.1715206652879715
1669134541299	4	0.17340368032455444
1669134549801	5	0.17426399886608124
1669134558598	6	0.17041447758674622
1669134567463	7	0.16927212476730347
1669134576118	8	0.1710214763879776
1669134584477	9	0.17357785999774933
1669134593385	10	0.17091970145702362
1669134601758	11	0.17035898566246033
1669134610277	12	0.17055773735046387
1669134618901	13	0.17208930850028992
1669134627820	14	0.1708153486251831
1669134636556	15	0.17120619118213654
1669134645596	16	0.1710273027420044
1669134654744	17	0.17085909843444824
1669134663797	18	0.1711488515138626
1669134672802	19	0.16919630765914917
1669134681745	20	0.17123869061470032
1669134689787	21	0.17149241268634796
1669134698666	22	0.16996026039123535
1669134707595	23	0.170662984251976
1669134716872	24	0.17089028656482697
1669134725411	25	0.17044080793857574
1669134734443	26	0.1691906899213791
1669134743177	27	0.16992458701133728
1669134752285	28	0.17002370953559875
1669134760729	29	0.1708025336265564
1669134769618	30	0.17016449570655823
1669134784776	31	0.1702597439289093
1669134802922	32	0.17045485973358154
1669134819561	33	0.170274555683136
1669134835636	34	0.170584037899971
1669134844816	35	0.16977250576019287
1669134854797	36	0.17049947381019592
1669134863533	37	0.17104080319404602
1669134882314	38	0.1705182045698166
1669134900390	39	0.16985440254211426
1669134911142	40	0.17049241065979004
1669134920791	41	0.1702290028333664
1669134929511	42	0.16847068071365356
1669134938314	43	0.1693386733531952
1669134947160	44	0.17134694755077362
1669134956174	45	0.16965171694755554
1669134965361	46	0.1699811965227127
1669134974510	47	0.17045235633850098
1669134983369	48	0.17001941800117493
1669134991995	49	0.170195072889328
1669135000354	50	0.1695794016122818
1669135009219	51	0.16974925994873047
1669135017979	52	0.1698959767818451
1669135026547	53	0.17214004695415497
1669135034914	54	0.1697685867547989
1669135043019	55	0.16995014250278473
1669135051235	56	0.17041441798210144
1669135059470	57	0.1694892942905426
1669135068651	58	0.17003124952316284
1669135078090	59	0.17028823494911194
1669135087006	60	0.1695706844329834
1669135096082	61	0.17012959718704224
1669135104564	62	0.16935795545578003
1669135113201	63	0.17044241726398468
1669135121787	64	0.16975432634353638
1669135129371	65	0.1698514074087143
1669135137080	66	0.1696063131093979
1669135145101	67	0.1703297644853592
1669135155887	68	0.16938498616218567
1669135163240	69	0.17050626873970032
1669135170619	70	0.16938549280166626
1669135178127	71	0.1692521870136261
1669135186437	72	0.17010486125946045
1669135195559	73	0.1709004044532776
1669135204666	74	0.16963998973369598
1669135213690	75	0.16909678280353546
1669135222448	76	0.170318141579628
1669135230465	77	0.16958647966384888
1669135238733	78	0.169382244348526
1669135246539	79	0.16979898512363434
1669135254358	80	0.17034822702407837
1669135262153	81	0.1703411340713501
1669135269767	82	0.17095763981342316
1669135277736	83	0.17088620364665985
1669135284713	84	0.17043326795101166
1669135291511	85	0.1694766730070114
1669135298384	86	0.16968870162963867
1669135305816	87	0.16886621713638306
1669135312807	88	0.1701107919216156
1669135320245	89	0.1700870245695114
1669135326936	90	0.16966712474822998
1669135333862	91	0.16965410113334656
1669135341517	92	0.17088337242603302
1669135349028	93	0.17071303725242615
1669135356269	94	0.17054763436317444
1669135363838	95	0.1695421189069748
1669135371452	96	0.1692650467157364
1669135378991	97	0.16943110525608063
1669135386044	98	0.16921213269233704
1669135392464	99	0.1702529489994049
